one,two,three,four
-4.778103637695324,-3.649075317382824,-5.96185302734375,-3.5612800598144645
-6.313549804687511,-5.660498046874977,-5.905287933349598,-5.98938903808596
-5.103649139404297,-3.754763793945301,-5.460049819946278,-5.321883392333973
-2.46935577392577,-2.3876106262206918,-5.101433181762673,-6.032064819335915
-6.4528945922851335,-4.155509948730469,-3.2073593139648438,-3.1306671142577898
-8.585877227783214,-7.434766387939476,-7.947232055664074,-5.869882583618164
-6.156135559082031,-6.066104888916016,-7.469634628295921,-7.343539428710926
-5.1534416198730355,-3.2168617248535156,-3.495076751709007,-3.311873626708973
-9.273912811279274,-6.694975280761696,-9.797982025146496,-7.3980575561523665
-13.301441192626953,-12.023043823242176,-14.040303802490257,-13.763686370849598
-14.53814239501952,-13.529976654052746,-16.619357681274437,-15.433594131469704
-13.684415435791038,-12.156822204589844,-14.916009902954102,-14.209269714355457
-10.4342216491699,-9.464714050292969,-12.781128311157204,-13.02716484069822
-13.81563034057615,-13.217514038085938,-15.99493827819822,-14.837484741210915
-8.604837036132835,-10.193839263916004,-13.526108551025402,-13.450718307495094
-7.479901885986351,-8.41603775024413,-11.2128730773926,-12.321191024780262
-15.213212585449241,-12.771535491943382,-16.88179855346681,-15.299218750000023
-16.728930282592785,-14.353202056884754,-17.592741394042946,-16.019996643066406
-8.516032409667957,-6.034892272949207,-9.254806518554688,-11.08438186645509
-8.815710449218727,-6.258099365234386,-5.887231063842762,-6.805427551269531
-4.161305236816418,-1.9944206237793196,0.7100250244140511,0.08447723388673012
1.4916725158691406,0.8606460571289176,3.1817283630371094,4.556346893310547
-0.7362136840820312,-0.7563850402831918,2.865628051757824,0.9026237487793196
2.399217987060524,2.5884483337402457,6.3999801635742415,5.377659988403309
4.290996551513672,1.9529006958007926,3.484966278076172,4.472451782226585
2.735701751708973,1.249678802490223,4.617501068115246,4.058229446411133
1.0505012512206804,0.6763336181640511,1.089766693115223,3.0606605529785043
1.9381210327148324,0.21021728515626137,1.9944480895995866,2.820333099365257
3.5875335693359602,0.8021720886230241,5.059561920166004,4.665729522705078
3.3874580383300668,1.3073860168457259,4.42744712829591,4.3562149047851335
2.9582931518554574,1.3752220153808707,7.790661239624001,6.953121185302734
5.040203094482422,2.337789154052757,8.40644226074221,8.119394683837868
10.13387680053711,5.755311584472679,9.572367858886707,10.48049545288086
8.099211120605446,5.628279876708973,4.91667823791505,9.921127319335938
2.559671783447243,3.299685668945301,3.7865219116210938,5.830363082885754
1.5344497680663949,1.753739166259777,2.8549102783202898,2.722930908203125
1.3959953308105355,0.8241645812988168,2.6889625549316634,3.478223419189476
4.359332275390614,2.1545463562011946,4.696007537841808,3.8867500305175895
-0.9815650939941634,0.43576889038087074,-3.3394409179687727,1.3897651672363054
-5.314723205566395,-4.038720703125023,-6.489601135253906,-6.1305984497070085
-0.45546264648436363,-1.6178459167480241,-2.218489837646473,-4.715014648437489
4.820028686523415,3.9266891479492188,5.207470703125011,5.91945877075193
-7.028810882568337,-3.1258392333984375,-10.301689147949219,-7.493701171874989
-7.751634979248024,-6.22398986816404,-7.789561462402332,-9.053793334960915
0.10515670776368324,-0.8581390380859375,-0.938216400146473,-4.0756088256836165
1.9949134826659929,-0.8950744628906477,-0.10345687866208664,-3.302462768554676
-0.2390647888183821,-0.3449264526367415,-0.21715927124023438,-0.3815811157226676
2.8123756408691634,1.5473533630371321,2.2729873657226562,1.4774169921875
5.0108642578125,2.7677848815918082,3.619158172607399,4.426930236816418
6.795302581787098,1.9623497009277457,4.968692779541016,5.134894561767567
8.085579681396496,3.3432533264160043,9.000627136230491,7.83419265747068
7.728521728515602,4.200720977783192,11.311277770996071,9.498599243164051
3.9304306030273324,3.729981994628929,6.494270324707031,10.107475280761719
-2.970224761962868,0.3505256652832145,-2.9663833618163835,1.7586837768554915
-5.621533966064476,-2.4573577880859148,-7.888311004638695,-6.590049743652344
-5.772182464599609,-3.8324340820312273,-5.530255126953136,-5.511171722412087
-1.7498268127441179,-1.932448577880848,0.38499755859373863,-1.9836242675781364
6.01059494018557,0.1918502807617415,4.043058013916038,3.29932098388673
7.616668701171875,0.5245758056640852,5.628079223632824,5.7454666137695085
6.0497573852538835,4.072006988525402,-0.380568695068348,0.9310203552246321
-0.5223945617675554,-1.0581611633300554,0.8111618041992301,-0.8667678833007812
-0.5639297485351449,0.6700096130371094,0.15420989990235512,-0.3562934875488395
-4.928026580810524,-1.8891128540038835,-1.6455497741699219,-0.9802223205566634
-2.213165283203125,-0.6808639526367415,-1.2882377624511605,-0.8892646789551009
