row, lat0, lon0, lat1, lon1, lat2, lon2, lat3, lon3, sil_score
row, lat0, lon0, lat1, lon1, lat2, lon2, lat3, lon3, sil_score
4145, 1.40625, 227.8125,1.40625, 230.625,4.21875, 227.8125,4.21875, 230.625, -0.08363920169183145
4146, 1.40625, 230.625,1.40625, 233.4375,4.21875, 230.625,4.21875, 233.4375, -0.08398584985529053
4147, 1.40625, 233.4375,1.40625, 236.25,4.21875, 233.4375,4.21875, 236.25, -0.08424216311892582
4148, 1.40625, 236.25,1.40625, 239.0625,4.21875, 236.25,4.21875, 239.0625, -0.08458339437093718
4149, 1.40625, 239.0625,1.40625, 241.875,4.21875, 239.0625,4.21875, 241.875, -0.08493343540888755
4150, 1.40625, 241.875,1.40625, 244.6875,4.21875, 241.875,4.21875, 244.6875, -0.085203227668606
4151, 1.40625, 244.6875,1.40625, 247.5,4.21875, 244.6875,4.21875, 247.5, -0.08544825110504509
4152, 1.40625, 247.5,1.40625, 250.3125,4.21875, 247.5,4.21875, 250.3125, -0.08569838595129829
4153, 1.40625, 250.3125,1.40625, 253.125,4.21875, 250.3125,4.21875, 253.125, -0.08592067783417803
4154, 1.40625, 253.125,1.40625, 255.9375,4.21875, 253.125,4.21875, 255.9375, -0.08610055874415184
4155, 1.40625, 255.9375,1.40625, 258.75,4.21875, 255.9375,4.21875, 258.75, -0.0862477198986235
4156, 1.40625, 258.75,1.40625, 261.5625,4.21875, 258.75,4.21875, 261.5625, -0.08635597888419043
4157, 1.40625, 261.5625,1.40625, 264.375,4.21875, 261.5625,4.21875, 264.375, -0.08645949981843691
4158, 1.40625, 264.375,1.40625, 267.1875,4.21875, 264.375,4.21875, 267.1875, -0.08656646623655082
4159, 1.40625, 267.1875,1.40625, 270.0,4.21875, 267.1875,4.21875, 270.0, -0.08667277615492767
4160, 1.40625, 270.0,1.40625, 272.8125,4.21875, 270.0,4.21875, 272.8125, -0.08670640913636361
4161, 1.40625, 272.8125,1.40625, 275.625,4.21875, 272.8125,4.21875, 275.625, -0.08670184475801022
4162, 1.40625, 275.625,1.40625, 278.4375,4.21875, 275.625,4.21875, 278.4375, -0.0867057535522872
4163, 1.40625, 278.4375,1.40625, 281.25,4.21875, 278.4375,4.21875, 281.25, -0.08670344379091571
4164, 1.40625, 281.25,1.40625, 284.0625,4.21875, 281.25,4.21875, 284.0625, -0.08673985289762869
4165, 1.40625, 284.0625,1.40625, 286.875,4.21875, 284.0625,4.21875, 286.875, -0.0867147310948711
4166, 1.40625, 286.875,1.40625, 289.6875,4.21875, 286.875,4.21875, 289.6875, -0.0866796958245106
4167, 1.40625, 289.6875,1.40625, 292.5,4.21875, 289.6875,4.21875, 292.5, -0.08671024083206126
4168, 1.40625, 292.5,1.40625, 295.3125,4.21875, 292.5,4.21875, 295.3125, -0.08670569545392305
4169, 1.40625, 295.3125,1.40625, 298.125,4.21875, 295.3125,4.21875, 298.125, -0.08668845389664812
4170, 1.40625, 298.125,1.40625, 300.9375,4.21875, 298.125,4.21875, 300.9375, -0.08668774164091696
4171, 1.40625, 300.9375,1.40625, 303.75,4.21875, 300.9375,4.21875, 303.75, -0.08674050740958873
4172, 1.40625, 303.75,1.40625, 306.5625,4.21875, 303.75,4.21875, 306.5625, -0.08674617918947049
4173, 1.40625, 306.5625,1.40625, 309.375,4.21875, 306.5625,4.21875, 309.375, -0.08665997978026962
4174, 1.40625, 309.375,1.40625, 312.1875,4.21875, 309.375,4.21875, 312.1875, -0.08666319354020564
4175, 1.40625, 312.1875,1.40625, 315.0,4.21875, 312.1875,4.21875, 315.0, -0.0867142726821066
4176, 1.40625, 315.0,1.40625, 317.8125,4.21875, 315.0,4.21875, 317.8125, -0.08669706159883515
4177, 1.40625, 317.8125,1.40625, 320.625,4.21875, 317.8125,4.21875, 320.625, -0.08673619231526651
4178, 1.40625, 320.625,1.40625, 323.4375,4.21875, 320.625,4.21875, 323.4375, -0.08677231235674587
4179, 1.40625, 323.4375,1.40625, 326.25,4.21875, 323.4375,4.21875, 326.25, -0.08672498764562638
4180, 1.40625, 326.25,1.40625, 329.0625,4.21875, 326.25,4.21875, 329.0625, -0.08672388573288438
4181, 1.40625, 329.0625,1.40625, 331.875,4.21875, 329.0625,4.21875, 331.875, -0.0866913964935401
4182, 1.40625, 331.875,1.40625, 334.6875,4.21875, 331.875,4.21875, 334.6875, -0.08666939588562216
4183, 1.40625, 334.6875,1.40625, 337.5,4.21875, 334.6875,4.21875, 337.5, -0.08671653142276423
4184, 1.40625, 337.5,1.40625, 340.3125,4.21875, 337.5,4.21875, 340.3125, -0.08673735613062593
4185, 1.40625, 340.3125,1.40625, 343.125,4.21875, 340.3125,4.21875, 343.125, -0.08673865759464153
4186, 1.40625, 343.125,1.40625, 345.9375,4.21875, 343.125,4.21875, 345.9375, -0.08670865126704347
